12/01/2018 03:42,,,
Código,Descrição,Início de Vigência,Fim de Vigência
08091000,Damascos,13/03/2007,-
08092010,Ginjas,13/03/2007,-
08092090,Outras,13/03/2007,-
08093010,"Pêssegos, exceto os ""brugnons"" e as nectarinas",13/03/2007,-
08093020,Brugnons e  nectarinas,13/03/2007,-
08094000,Ameixas e abrunhos,13/03/2007,-
08094010,AMEIXAS FRESCAS,29/05/2007,-
08094020,ABRUNHOS FRESCOS,29/05/2007,-
08101000,Morangos,13/03/2007,-
08102000,"Framboesas, amoras (incluídas as silvestres) e",13/03/2007,-
08103000,"Groselhas, incluído o ""cassis""",13/03/2007,-
08104000,"Airelas, mirtilos e outras frutas do gênero",13/03/2007,-
08105000,Quivis,13/03/2007,-
08106000,Duriões,13/03/2007,-
08109000,Outras,13/03/2007,-
08111000,Morangos,13/03/2007,-
08112000,"Framboesas, amoras (incluídas as silvestres),",13/03/2007,-
08119000,Outras,13/03/2007,-
08119012,AMEIXAS,23/03/2007,-
08121010,Ginjas,13/03/2007,-
08121090,Outras,13/03/2007,-
08129010,Morangos,13/03/2007,-
08129090,Outras,13/03/2007,-
08131010,Com caroço,13/03/2007,-
08131020,Sem caroço,13/03/2007,-
08132010,Com caroço,13/03/2007,-
08132020,Sem caroço,13/03/2007,-
08133000,Maçãs,13/03/2007,-
08134040,Pêras,13/03/2007,-
08134050,Tamarindos,13/03/2007,-
08134060,Mosqueta,13/03/2007,-
08134090,Outros,13/03/2007,-
08135000,Misturas de frutas secas ou de frutas de casca,13/03/2007,-
08140000,"Cascas de cítricos, de melões ou de melancias,",13/03/2007,-
09011110,Em grão,13/03/2007,-
09011190,Outros,13/03/2007,-
09011200,Descafeinado,13/03/2007,-
09012100,Não descafeinado,13/03/2007,-
09012200,Descafeinado,13/03/2007,-
09019000,Outros,13/03/2007,-
09021000,Chá verde (não fermentado) em embalagens imediatas,13/03/2007,-
09022000,Chá verde (não fermentado) apresentado de qualquer,13/03/2007,-
09023000,Chá preto (fermentado) e chá parcialmente,13/03/2007,-
09024000,Chá preto (fermentado) e chá parcialmente,13/03/2007,-
09030010,Simplesmente cancheado,13/03/2007,-
09030090,Outros,13/03/2007,-
09041100,Não triturada nem em pó,13/03/2007,-
09041200,Triturada ou em pó,13/03/2007,-
09042000,"Pimentões e pimentas (pimentos*), secos ou",13/03/2007,-
09050000,Baunilha.,13/03/2007,-
09061000,Não trituradas nem em pó,13/03/2007,-
09061100,Canela (Cinnamomum zeylanicum blume),01/01/2008,-
09061900,Outras,01/01/2008,-
09062000,Trituradas ou em pó,13/03/2007,-
09070000,"Cravo-da-índia (frutos, flores e pedúnculos).",13/03/2007,-
09081000,Noz-moscada,13/03/2007,-
09082000,Macis,13/03/2007,-
09083000,Amomos e cardamomos,13/03/2007,-
09091010,De anis,13/03/2007,-
09091020,De badiana,13/03/2007,-
09092000,Sementes de coentro,13/03/2007,-
09093000,Sementes de cominho,13/03/2007,-
09094000,Sementes de alcaravia,13/03/2007,-
09095000,Sementes de funcho; bagas de zimbro,13/03/2007,-
09101000,Gengibre,13/03/2007,-
09102000,Açafrão,13/03/2007,-
09103000,Açafrão-da-terra (curcuma*),13/03/2007,-
09104000,Tomilho; louro,13/03/2007,-
09105000,Caril,13/03/2007,-
09109100,Misturas mencionadas na Nota 1 b) do presente,13/03/2007,-
09109900,Outras,13/03/2007,-
09109910,Tomilho; louro,01/01/2008,-
09109990,Outras,01/01/2008,-
10011000,Trigo duro,13/03/2007,-
10019010,Trigo,13/03/2007,-
10019020,Mistura de trigo com centeio,13/03/2007,-
10020000,Centeio.,13/03/2007,-
10030000,Cevada.,13/03/2007,-
10040000,Aveia.,13/03/2007,-
10051000,Para semeadura,13/03/2007,-
10059020,Em grão,13/03/2007,-
10059090,Outros,13/03/2007,-
10061010,Não parboilizado,13/03/2007,-
10061020,Parboilizado,13/03/2007,-
10061092,ARROZ NAO PARBOLIZADO,15/08/2007,-
10062000,"Arroz descascado (arroz ""cargo"" ou castanho)",13/03/2007,-
10062020,"ARROZ DESCASCADO (ARROZ ""CARGO"" OU CASTANHADO)",15/08/2007,-
10063010,Sem polir ou brunir,13/03/2007,-
10063020,Polido ou brunido,13/03/2007,-
10063021,ARROZ POLIDO OU BRUNIDO,15/08/2007,-
10064000,Arroz quebrado (trinca de arroz*),13/03/2007,-
10070000,Sorgo de grão.,13/03/2007,-
10081000,Trigo mourisco,13/03/2007,-
10082000,Painço,13/03/2007,-
10083000,Alpiste,13/03/2007,-
10089000,Outros cereais,13/03/2007,-
11010000,Farinhas de trigo ou de mistura de trigo com,13/03/2007,-
11021000,Farinha de centeio,13/03/2007,-
11022000,Farinha de milho,13/03/2007,-
11023000,Farinha de arroz,13/03/2007,-
11029010,De aveia,13/03/2007,-
11029020,De arroz,01/01/2008,-
11029090,Outras,13/03/2007,-
11031100,De trigo,13/03/2007,-
11031300,de milho,13/03/2007,-
11031910,De cevada,13/03/2007,-
11031920,De centeio,13/03/2007,-
11031990,Outros,13/03/2007,-
11032000,"""Pellets""",13/03/2007,-
11041200,de aveia,13/03/2007,-
11041910,De milho,13/03/2007,-
11041990,Outros,13/03/2007,-
11042200,de aveia,13/03/2007,-
11042300,de milho,13/03/2007,-
11042900,de outros cereais,13/03/2007,-
11043000,"Germes de cereais, inteiros, esmagados, em flocos",13/03/2007,-
11051000,"Farinha, sêmola e pó",13/03/2007,-
11052000,"Flocos, grânulos e ""pellets""",13/03/2007,-
11061000,"Dos legumes de vagem, secos, da posição 07.13",13/03/2007,-
11062010,De sagu,13/03/2007,-
11062020,De mandioca,13/03/2007,-
11062090,Outras,13/03/2007,-
11063000,Dos produtos do Capítulo 8,13/03/2007,-
11071000,Não torrado,13/03/2007,-
11072000,Torrado,13/03/2007,-
